acsPartNumber,description,price,salePrice,stockQty,eligibilities,nextHigherAssemblies,,oem,oemPartNumber,productImage,categories,TBQ
P00003,"Seat, Ball",188,,,A300 MODEL B2-1A | A300 MODEL B2-1C | A300 MODEL B4-2C | A300 MODEL B2K-3C | A300 MODEL B4-103 | A300 MODEL B2-203 | A300 MODEL B4-203 | A310 MODEL 204 | A310 MODEL 221 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL F4-622R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | 747-100 | 747-200B | 747-200F | 747-200C | 747-300 | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-15 | MD-10-10F,978690  :  HP BLEED CONTROL VALVE | 978892  :  HP BLEED CONTROL VALVE | 979146  :  HP BLEED CONTROL VALVE,,Honeywell,311903-30,ACS00003,978690  :  HP BLEED CONTROL VALVE | 978892  :  HP BLEED CONTROL VALVE | 979146  :  HP BLEED CONTROL VALVE,
P00004,Seat,182.05,,,A300 MODEL B2-1A | A300 MODEL B2-1C | A300 MODEL B4-2C | A300 MODEL B2K-3C | A300 MODEL B4-103 | A300 MODEL B2-203 | A300 MODEL B4-203 | A310 MODEL 204 | A310 MODEL 221 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL F4-622R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | 747-100 | 747-200B | 747-200F | 747-200C | 747-300 | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-15 | MD-10-10F,978690  :  HP BLEED CONTROL VALVE | 978892  :  HP BLEED CONTROL VALVE | 979146  :  HP BLEED CONTROL VALVE,,Honeywell,3172745-1,ACS00004,978690  :  HP BLEED CONTROL VALVE | 978892  :  HP BLEED CONTROL VALVE | 979146  :  HP BLEED CONTROL VALVE,
P00009,"Rod, Secondary",90.58,,,A300 MODEL B2-1A | A300 MODEL B2-1C | A300 MODEL B4-2C | A300 MODEL B2K-3C | A300 MODEL B4-103 | A300 MODEL B2-203 | A300 MODEL B4-203 | A310 MODEL 204 | A310 MODEL 221 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL F4-622R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | 747-100 | 747-200B | 747-200F | 747-200C | 747-300 | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-15 | MD-10-10F,978690  :  HP BLEED CONTROL VALVE | 978892  :  HP BLEED CONTROL VALVE | 979146  :  HP BLEED CONTROL VALVE,,Honeywell,3161921-1,ACS00009,978690  :  HP BLEED CONTROL VALVE | 978892  :  HP BLEED CONTROL VALVE | 979146  :  HP BLEED CONTROL VALVE,
P00010,"Switch, Pressure",10000,,,A300 MODEL B2-1A | A300 MODEL B2-1C | A300 MODEL B4-2C | A300 MODEL B2K-3C | A300 MODEL B4-103 | A300 MODEL B2-203 | A300 MODEL B4-203 | A310 MODEL 204 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-622R | 747-100 | 747-200B | 747-200F | 747-200C | 747-300 | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-15 | MD-10-10F,978690  :  HP BLEED CONTROL VALVE | 978892  :  HP BLEED CONTROL VALVE | 979146  :  HP BLEED CONTROL VALVE,,Honeywell,3172743-4,ACS00010,978690  :  HP BLEED CONTROL VALVE | 978892  :  HP BLEED CONTROL VALVE | 979146  :  HP BLEED CONTROL VALVE,1
P00012,Bearing Carrier,837.35,,,DC-9-81 (MD-81) | DC-9-82 (MD-82) | DC-9-83 (MD-83) | MD-88 | 727-100 SERIES | 737-200 | 737-300 | 737-400 | 737-500,204050-10  :  AIR CYCLE MACHINE | 204050-11  :  AIR CYCLE MACHINE | 204950Series  :  COOLING TURBINE,,Honeywell,203477-1,ACS00012,204050-10  :  AIR CYCLE MACHINE | 204050-11  :  AIR CYCLE MACHINE | 204950Series  :  COOLING TURBINE,
P00015,"Bushing, Carbon",188.1,,,747-400 | 767-200 | 767-300 | 767-300F | 767-400ER,790270-5  :  HPSOV | 790270-6  :  HPSOV | 802170  :  HPSOV,,Hamilton Sundstrand,746474-5,ACS00015,790270-5  :  HPSOV | 790270-6  :  HPSOV | 802170  :  HPSOV,
P00017,Impeller,607.7,,,DC-9-81 (MD-81) | DC-9-82 (MD-82) | DC-9-83 (MD-83) | MD-88 | 727 SERIES | 737-300 | 737-400 | 737-500,204050-10  :  AIR CYCLE MACHINE | 204050-11  :  AIR CYCLE MACHINE | 204950Series  :  COOLING TURBINE,,Honeywell,203697-1,ACS00017,204050-10  :  AIR CYCLE MACHINE | 204050-11  :  AIR CYCLE MACHINE | 204950Series  :  COOLING TURBINE,
P00018,Seal Element,104.03,,,A300 MODEL B2-1A | A300 MODEL B2-1C | A300 MODEL B4-2C | A300 MODEL B2K-3C | A310 MODEL 204 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | A318-111 | A318-112 | A318-121 | A319-111 | A319-112 | A319-113 | A319-114 | A319-115 | A319-131 | A319-132 | A319-133 | A320-111 | A320-211 | A320-212 | A320-214 | A320-231 | A320-232 | A320-233 | A330-301 | A330-343 | A340-211 | A340-212 | A340-213 | A340-311 | A340-312 | A340-313 | 737-700 | 737-800 | 737-600 | 747-100 | 747-200B | 747-200F | 747-200C | 747SR | 747SP | 747-100B | 747-300 | 747-100B SUD | 747-400 | 747-400D | 747-400F | 757-200 | 757-200PF | 757-300 | 767-200 | 767-300 | 767-400ER | CF6-80A | CF6-80A1 | CF6-80A2 | CF6-80A3 | CF6-80C2A1 | CF6-80C2A2 | CF6-80C2A3 | CF6-80C2A5 | CF6-80C2A8 | CF6-80C2B1 | CF6-80C2B2 | CF6-80C2B4 | CF6-80C2B6 | CF6-80C2B1F | CF6-80C2B2F | CF6-80C2B4F | CF6-80C2B6F | CF6-80C2D1F | CF6-80C2A5F | CF6-80C2B7F | CF6-80C2B6FA | CF6-80C2B5F | CF6-80C2B8F | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-10F | DC-10-15 | MD-11 | MD-11F | MD-10-10F | MD-10-30F | L-1011-385-1 | L-1011-385-1-14 | L-1011-385-1-15 | L-1011-385-3,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-1  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623977  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 849589  :  HYDRAULIC MOTORPUMP ASSY | 887111  :  HYDRAULIC MOTORPUMP ASSY | 887673  :  HYDRAULIC MOTORPUMP ASSY | 971844  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 972630  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 974976  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP,,Eaton Vickers,569246,ACS00018,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-1  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623977  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 849589  :  HYDRAULIC MOTORPUMP ASSY | 887111  :  HYDRAULIC MOTORPUMP ASSY | 887673  :  HYDRAULIC MOTORPUMP ASSY | 971844  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 972630  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 974976  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP,
P00019,Mating Ring,224,,,A310 MODEL 204 | A310 MODEL 221 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL F4-622R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | A318-111 | A318-112 | A318-121 | A318-122 | A319-111 | A319-112 | A319-113 | A319-114 | A319-115 | A319-131 | A319-132 | A319-133 | A320-111 | A320-211 | A320-212 | A320-214 | A320-231 | A320-232 | A320-233 | A321-111 | A321-112 | A321-131 | A321-211 | A321-231 | A321-212 | A321-213 | A321-232 | A330-201 | A330-202 | A330-203 | A330-223 | A330-243 | A330-223F | A330-243F | A330-301 | A330-302 | A330-303 | A330-321 | A330-322 | A330-323 | A330-341 | A330-342 | A330-343 | A340-211 | A340-212 | A340-213 | A340-311 | A340-312 | A340-313 | A340-541 | A340-642 | DC-9-11 | DC-9-12 | DC-9-13 | DC-9-14 | DC-9-15 | DC-9-15F | DC-9-21 | DC-9-31 | DC-9-32 | DC-9-32 (VC-9C) | DC-9-32F | DC-9-32F (C-9A | C-9B) | DC-9-33F | DC-9-34 | DC-9-34F | DC-9-41 | DC-9-51 | MD-88 | 717-200 | MD-11 | MD-11F | MD-10-10F | MD-10-30F,405893  :  HYDRAULIC MOTOR-PUMP ASSEMBLY | 414470  :  HYDRAULIC MOTOR-PUMP ASSEMBLY | 520831  :  AC DRIVEN MOTORPUMP ASSY | 624372  :  HYDRAULIC MOTORPUMP ASSY | 693335  :  HYDRAULIC MOTORPUMP ASSY | 861555  :  AC DRIVEN MOTORPUMP ASSY | 861686  :  AC DRIVEN MOTORPUMP ASSY | MPEV3-032-1D  :  HYDRAULIC MOTOR PUMP | MPEV3-032-1E  :  HYDRAULIC MOTOR PUMP | MPEV3-032-1F  :  HYDRAULIC MOTOR PUMP,,Eaton Vickers,420494,ACS00019,405893  :  HYDRAULIC MOTOR-PUMP ASSEMBLY | 414470  :  HYDRAULIC MOTOR-PUMP ASSEMBLY | 520831  :  AC DRIVEN MOTORPUMP ASSY | 624372  :  HYDRAULIC MOTORPUMP ASSY | 693335  :  HYDRAULIC MOTORPUMP ASSY | 861555  :  AC DRIVEN MOTORPUMP ASSY | 861686  :  AC DRIVEN MOTORPUMP ASSY | MPEV3-032-1D  :  HYDRAULIC MOTOR PUMP | MPEV3-032-1E  :  HYDRAULIC MOTOR PUMP | MPEV3-032-1F  :  HYDRAULIC MOTOR PUMP,
P00020,"Valve, Assy, Servo Pilot",10000,,,737-300 | 737-400 | 737-500,172625-7  :  NOSE COWL TAI VALVE,,Whittaker Controls,321240,ACS00020,172625-7  :  NOSE COWL TAI VALVE,1
