acsPartNumber,description,price,salePrice,stockQty,eligibilities,nextHigherAssemblies,,oem,oemPartNumber,productImage,categories,TBQ
P00021,"Guide, Spring, Male",85.16,,,A300 MODEL B2-1A | A300 MODEL B2-1C | A300 MODEL B4-2C | A300 MODEL B2K-3C | A310 MODEL 204 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | A320-211 | 747-100 | 747-200B | 747-200F | 747-200C | 747SR | 747SP | 747-100B | 747-300 | 747-100B SUD | 747-400 | 747-400D | 747-400F | 757-200 | 757-200PF | 757-300 | 767-300 | CF6-80A | CF6-80A1 | CF6-80A2 | CF6-80A3 | CF6-80C2A1 | CF6-80C2A2 | CF6-80C2A3 | CF6-80C2A5 | CF6-80C2A8 | CF6-80C2B1 | CF6-80C2B2 | CF6-80C2B4 | CF6-80C2B6 | CF6-80C2B1F | CF6-80C2B2F | CF6-80C2B4F | CF6-80C2B6F | CF6-80C2D1F | CF6-80C2A5F | CF6-80C2B7F | CF6-80C2B6FA | CF6-80C2B5F | CF6-80C2B8F | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-10F | MD-11 | MD-11F | MD-10-10F | MD-10-30F | L-1011-385-1 | L-1011-385-1-14 | L-1011-385-1-15 | L-1011-385-3,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-1  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623272  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP,,Eaton Vickers,569361,ACS00021,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-1  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623272  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP,
P00022,"Guide, Spring, Female",110.84,,,A300 MODEL B2-1A | A300 MODEL B2-1C | A300 MODEL B4-2C | A300 MODEL B2K-3C | A310 MODEL 204 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | A320-211 | 747-100 | 747-200B | 747-200F | 747-200C | 747SR | 747SP | 747-100B | 747-300 | 747-100B SUD | 747-400 | 747-400D | 747-400F | 757-200 | 757-200PF | 757-300 | 767-300 | CF6-80A | CF6-80A1 | CF6-80A2 | CF6-80A3 | CF6-80C2A1 | CF6-80C2A2 | CF6-80C2A3 | CF6-80C2A5 | CF6-80C2A8 | CF6-80C2B1 | CF6-80C2B2 | CF6-80C2B4 | CF6-80C2B6 | CF6-80C2B1F | CF6-80C2B2F | CF6-80C2B4F | CF6-80C2B6F | CF6-80C2D1F | CF6-80C2A5F | CF6-80C2B7F | CF6-80C2B6FA | CF6-80C2B5F | CF6-80C2B8F | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-10F | MD-11 | MD-11F | MD-10-10F | MD-10-30F | L-1011-385-1 | L-1011-385-1-14 | L-1011-385-1-15 | L-1011-385-3,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-1  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623272  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP,,Eaton Vickers,569360,ACS00022,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-1  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623272  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP,
P00023,"Seat, Spring",38.25,,,A300 MODEL B2-1A | A300 MODEL B2-1C | A300 MODEL B4-2C | A300 MODEL B2K-3C | A300 MODEL B4-103 | A300 MODEL B4-203 | A310 MODEL 204 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | A318-111 | A318-112 | A318-121 | A319-111 | A319-112 | A319-113 | A319-114 | A319-115 | A319-131 | A319-132 | A319-133 | A320-111 | A320-211 | A320-212 | A320-214 | A320-231 | A320-232 | A320-233 | A321-111 | A321-112 | A321-131 | A321-211 | A321-231 | A321-212 | A321-213 | A321-232 | 747-100 | 747-200B | 747-200F | 747-200C | 747SR | 747SP | 747-100B | 747-300 | 747-100B SUD | 747-400 | 747-400D | 747-400F | 757-200 | 757-200PF | 757-300 | 767-200 | 767-300 | 767-300F | 767-400ER | CF6-80A | CF6-80A1 | CF6-80A2 | CF6-80A3 | CF6-80C2A1 | CF6-80C2A2 | CF6-80C2A3 | CF6-80C2A5 | CF6-80C2A8 | CF6-80C2B1 | CF6-80C2B2 | CF6-80C2B4 | CF6-80C2B6 | CF6-80C2B1F | CF6-80C2B2F | CF6-80C2B4F | CF6-80C2B6F | CF6-80C2D1F | CF6-80C2A5F | CF6-80C2B7F | CF6-80C2B6FA | CF6-80C2B5F | CF6-80C2B8F | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-10F | MD-11 | MD-11F | MD-10-10F | MD-10-30F | L-1011-385-1 | L-1011-385-1-14 | L-1011-385-1-15 | L-1011-385-3,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-1  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623272  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623977  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 887111  :  HYDRAULIC MOTORPUMP ASSY | 887673  :  HYDRAULIC MOTORPUMP ASSY,,Eaton Vickers,569362,ACS00023,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-1  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623272  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623977  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 887111  :  HYDRAULIC MOTORPUMP ASSY | 887673  :  HYDRAULIC MOTORPUMP ASSY,
P00029,"Screw, Cap, Socket Head",98.66,,,727 SERIES | 727-100 SERIES | 727-200 SERIES | 737-100 | 747-100 | 747-200B | 747-200F | 747-200C | 747-100B | 747-300 | 747-100B SUD | 747-400 | 747-400D | 747-400F,57186  :  PUMP MOTOR PACKAGE,,Parker Hannifin,62080-02,ACS00029,57186  :  PUMP MOTOR PACKAGE,
P00032,Cage,101.03,,,A319-111 | A319-112 | A319-113 | A319-114 | A319-115 | A319-131 | A319-132 | A319-133 | A320-111 | A320-211 | A320-212 | A320-214 | A320-231 | A320-232 | A320-233 | A321-111 | A321-112 | A321-131 | A321-211 | A321-231 | A321-212 | A321-213 | A321-232,201419001  :  DAMPER,,Messier Dowty,201419607,ACS00032,201419001  :  DAMPER,
P00033,"Spacer, Gerotor Drive",10000,,,747-400 | 747-400D | 747-400F | 757-200 | 757-200PF | 757-200CB | 757-300 | 767-200 | 767-300 | 767-300F | 767-400ER | 777-200 | 777-300 | 777-300ER | 777-200LR | 777F,622199  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623303  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 731966  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP,,Eaton Vickers,571138,ACS00033,622199  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623303  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 731966  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP,1
P00034,Sleeve,365.09,,,A340-211 | A340-212 | A340-213 | A340-311 | A340-312 | A340-313 | A340-541 | A340-642,752157  :  INTEGRATED DRIVE GENERATOR (IDG),,Hamilton Sundstrand,771698-1,ACS00034,752157  :  INTEGRATED DRIVE GENERATOR (IDG),
P00035,Pump Sleeve ,10000,,,A310 MODEL 204 | A310 MODEL 221 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL F4-622R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R | 747-300 | 747-400 | 747-400F | 757-200 | 757-200PF | 757-200CB | 757-300 | 767-200 | 767-300 | 767-300F | 767-400ER | CF6-80A | CF6-80A2 | CF6-80A3 | CF6-80C2A1 | CF6-80C2A2 | CF6-80C2A3 | CF6-80C2A5 | CF6-80C2A8 | CF6-80C2B1 | CF6-80C2B2 | CF6-80C2B4 | CF6-80C2B6 | CF6-80C2B1F | CF6-80C2B2F | CF6-80C2B4F | CF6-80C2B6F | CF6-80C2B7F | CF6-80C2B6FA | CF6-80C2B5F | CF6-80C2B8F,729825B  :  INTEGRATED DRIVE GENERATOR (IDG) | 729825C  :  INTEGRATED DRIVE GENERATOR (IDG) | 735874  :  INTEGRATED DRIVE GENERATOR (IDG) | 735874B  :  INTEGRATED DRIVE GENERATOR (IDG) | 735874C  :  INTEGRATED DRIVE GENERATOR (IDG) | 735874D  :  INTEGRATED DRIVE GENERATOR (IDG) | 739515B  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329A  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329B  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329C  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329D  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329E  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDG11  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDG13  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDG19  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDG21  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDGS01  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDGS01-05  :  INTEGRATED DRIVE GENERATOR (IDG),,Hamilton Sundstrand,755116,ACS00035,729825B  :  INTEGRATED DRIVE GENERATOR (IDG) | 729825C  :  INTEGRATED DRIVE GENERATOR (IDG) | 735874  :  INTEGRATED DRIVE GENERATOR (IDG) | 735874B  :  INTEGRATED DRIVE GENERATOR (IDG) | 735874C  :  INTEGRATED DRIVE GENERATOR (IDG) | 735874D  :  INTEGRATED DRIVE GENERATOR (IDG) | 739515B  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329A  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329B  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329C  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329D  :  INTEGRATED DRIVE GENERATOR (IDG) | 745329E  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDG11  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDG13  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDG19  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDG21  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDGS01  :  INTEGRATED DRIVE GENERATOR (IDG) | 90IDGS01-05  :  INTEGRATED DRIVE GENERATOR (IDG),1
P00037,Spring Retainer ,284.38,,,A319-111 | A319-112 | A319-113 | A319-114 | A319-115 | A319-131 | A319-132 | A319-133 | A320-111 | A320-211 | A320-212 | A320-214 | A320-231 | A320-232 | A320-233 | A321-111 | A321-112 | A321-131 | A321-211 | A321-231 | A321-212 | A321-213 | A321-232,201419001  :  DAMPER,,Messier Dowty,201419611,ACS00037,201419001  :  DAMPER,
P00039,"Ring, Mating",106.09,,,A310 MODEL 204 | A310 MODEL 222 | A310 MODEL 203 | A310 MODEL 322 | A310 MODEL 324 | A310 MODEL 304 | A310 MODEL 325 | A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL B4-622R | A318-111 | A318-112 | A318-121 | A319-111 | A319-112 | A319-113 | A319-114 | A319-115 | A319-131 | A319-132 | A319-133 | A320-111 | A320-211 | A320-212 | A320-214 | A320-231 | A320-232 | A320-233 | A321-111 | A321-112 | A321-131 | A321-211 | A321-231 | A321-212 | A321-213 | A321-232 | 737-700 | 737-800 | 737-600 | 747-200F | 747-200C | 747SR | 747SP | 747-100B | 747-300 | 747-100B SUD | 747-400 | 747-400D | 747-400F | 757-200 | 757-200PF | 757-300 | 767-200 | 767-300 | 767-400ER | CF6-80A | CF6-80A1 | CF6-80A2 | CF6-80A3 | CF6-80C2A1 | CF6-80C2A2 | CF6-80C2A3 | CF6-80C2A5 | CF6-80C2A8 | CF6-80C2B1 | CF6-80C2B2 | CF6-80C2B6 | CF6-80C2B1F | CF6-80C2B2F | CF6-80C2B6F | CF6-80C2D1F | CF6-80C2A5F | CF6-80C2B7F | CF6-80C2B6FA | CF6-80C2B5F | CF6-80C2B8F | DC-10-10 | DC-10-40 | DC-10-30 | DC-10-30F (KC-10A | KDC-10) | DC-10-10F | DC-10-15 | MD-11 | MD-11F | MD-10-10F | MD-10-30F | L-1011-385-1 | L-1011-385-1-14 | L-1011-385-1-15 | L-1011-385-3,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623977  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 849589  :  HYDRAULIC MOTORPUMP ASSY | 887111  :  HYDRAULIC MOTORPUMP ASSY | 887673  :  HYDRAULIC MOTORPUMP ASSY,,Eaton Vickers,329272,ACS00039,350880  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-2  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-3  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-6  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 350880-7  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 623977  :  VARIABLE DISPLACEMENT HYDRAULIC PUMP | 849589  :  HYDRAULIC MOTORPUMP ASSY | 887111  :  HYDRAULIC MOTORPUMP ASSY | 887673  :  HYDRAULIC MOTORPUMP ASSY,
P00040,Washer ,32.48,,,A300 MODEL B4-601 | A300 MODEL B4-603 | A300 MODEL B4-620 | A300 MODEL B4-605R | A300 MODEL B4-622 | A300 MODEL F4-605R | A300 MODEL F4-622R | A300 MODEL C4-605R VARIANT F | A300 MODEL B4-622R,P376A0002  :  SPOILER SPEEDBRAKE ACTUATOR,,Messier Dowty,S946-3,ACS00040,P376A0002  :  SPOILER SPEEDBRAKE ACTUATOR,